Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
b4f16508-e28c-4109-91fb-b8856753f8e5,,,Bacteriology Date of Xpert test,,Bacteriologia fecha de prueba Xpert,Date of Xpert test done,,Fecha de prueba Xpert realizada,,,,Misc,Date,,,,,,,,,,,
682d611a-ff9c-49b3-9fd9-436b32f0940a,,,Bacteriology Xpert test ID number,,Bacteriologia numero de ID de prueba Xpert,Xpert test ID number,,Numero de ID de prueba Xpert,,,,Misc,Text,,,,,,,,,,,
962d046b-3f4d-4254-87aa-7d962b862549,,,Bacteriology Xpert MTB result,,Bacteriologia resultado MTB de Xpert,Xpert test ID number,,Resultado MTB de Xpert,,,,Misc,Coded,,9bb0795c-4ff0-0305-1990-000000000015;9bb0795c-4ff0-0305-1990-000000000016,,,,,,,,,
0c767bbe-fbfc-4bb5-a9b7-34aa9f07a237,,,Bacteriology Xpert test results,,Bacteriologia resultados de prueba Xpert,Xpert test results,,Resultados de prueba Xpert,,,,Misc,N/A,,,b4f16508-e28c-4109-91fb-b8856753f8e5;682d611a-ff9c-49b3-9fd9-436b32f0940a;962d046b-3f4d-4254-87aa-7d962b862549,,,,,,,,
3233fae3-0996-4c34-9f48-6d02d77beb7f,,,Scanty 1-3,,Escasa 1-3,,,,,,,Misc,N/A,,,,,,,,,,,
01634d6e-64cb-43ae-9389-39d105a282e0,,,Scanty 4-9,,Escasa 4-9,,,,,,,Misc,N/A,,,,,,,,,,,
c0f5c294-e37d-49df-82d5-8850976fd0cd,,,Not read,,No leido,,,,,,,Misc,N/A,,,,,,,,,,,
f055e799-5ac2-4121-a793-aa636e1e008c,,,Bacteriology Smear result,,Bacteriologia resultado de baciloscopia,,,,,,,Misc,Coded,,3233fae3-0996-4c34-9f48-6d02d77beb7f;01634d6e-64cb-43ae-9389-39d105a282e0;c0f5c294-e37d-49df-82d5-8850976fd0cd;664AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,,
81589741-9648-440f-aa14-21162a3dd561,,,Bacteriology Smear test lab ID number,,Bacteriologia numero ID de laboratorio de baciloscopia,Smear test lab ID number,,Numero ID de laboratorio de baciloscopia,,,,Misc,Numeric,,,,Yes,,,,,,,
acbda3c6-5bd1-4602-88e3-63db896cdddb,,,Bacteriology Diagnosed with other Symptom,,Bacteriologia diagnosticado con otro sintoma,Diagnosed with other Symptom,,Diagnosticado con otro sintoma,,,,Misc,Boolean,,,,,,,,,,,
aa73a6a3-0375-46c9-903d-037240fbb23c,,,Bacteriology Date of AFB smear,,Bacteriologia fecha de baciloscopia AFB,Date of AFB smear,,Fecha de baciloscopia AFB,,,,Misc,Datetime,,,,,,,,,,,
d18150f7-c730-4d67-80f9-c8d0c42d1f1a,,,Bacteriology Smear microscopy test results,,Bacteriologia resultados de microscopia de baciloscopia,,,,,,,Misc,N/A,,,f055e799-5ac2-4121-a793-aa636e1e008c;81589741-9648-440f-aa14-21162a3dd561;acbda3c6-5bd1-4602-88e3-63db896cdddb;aa73a6a3-0375-46c9-903d-037240fbb23c,,,,,,,,
